subject,model,test_trial,test_condition,window_s,n_windows,n_correct,accuracy,auc
03,eeg_post_ts,2,FixedVideo,10,58,31,0.5344827586206896,0.5231866825208086
03,eeg_post_ts,2,FixedVideo,30,18,10,0.5555555555555556,0.6049382716049383
03,eeg_post_ts,2,FixedVideo,60,8,5,0.625,0.75
03,eeg_post_ts,3,MovingVideo,1,596,251,0.4211409395973154,0.3923359308139273
03,eeg_post_ts,3,MovingVideo,2,298,126,0.4228187919463087,0.36426287104184496
03,eeg_post_ts,3,MovingVideo,5,118,48,0.4067796610169492,0.3274920999712726
03,eeg_post_ts,3,MovingVideo,10,58,18,0.3103448275862069,0.26040428061831156
03,eeg_post_ts,3,MovingVideo,30,18,2,0.1111111111111111,0.024691358024691357
03,eeg_post_ts,3,MovingVideo,60,8,1,0.125,0.0
03,eeg_post_ts,4,NoVisuals,1,596,148,0.2483221476510067,0.1834714652493131
03,eeg_post_ts,4,NoVisuals,2,298,72,0.24161073825503357,0.1740912571505788
03,eeg_post_ts,4,NoVisuals,5,118,33,0.2796610169491525,0.1723642631427751
03,eeg_post_ts,4,NoVisuals,10,58,11,0.1896551724137931,0.09393579072532701
03,eeg_post_ts,4,NoVisuals,30,18,2,0.1111111111111111,0.0
03,eeg_post_ts,4,NoVisuals,60,8,1,0.125,0.0
03,eeg_post_ts,5,FixedVideo,1,596,267,0.44798657718120805,0.43865141209855407
03,eeg_post_ts,5,FixedVideo,2,298,139,0.4664429530201342,0.43052114769604977
03,eeg_post_ts,5,FixedVideo,5,118,52,0.4406779661016949,0.4027578282102844
03,eeg_post_ts,5,FixedVideo,10,58,23,0.39655172413793105,0.3638525564803805
03,eeg_post_ts,5,FixedVideo,30,18,4,0.2222222222222222,0.2345679012345679
03,eeg_post_ts,5,FixedVideo,60,8,0,0.0,0.0
03,eeg_alpha_ts,0,MovingVideo,1,596,295,0.4949664429530201,0.4861267510472501
03,eeg_alpha_ts,0,MovingVideo,2,298,150,0.5033557046979866,0.488131165262826
03,eeg_alpha_ts,0,MovingVideo,5,118,57,0.4830508474576271,0.5004309106578569
03,eeg_alpha_ts,0,MovingVideo,10,58,30,0.5172413793103449,0.46848989298454224
03,eeg_alpha_ts,0,MovingVideo,30,18,9,0.5,0.4938271604938272
03,eeg_alpha_ts,0,MovingVideo,60,8,4,0.5,0.5
03,eeg_alpha_ts,1,NoVisuals,1,596,284,0.47651006711409394,0.4613080491869736
03,eeg_alpha_ts,1,NoVisuals,2,298,135,0.45302013422818793,0.43421467501463895
03,eeg_alpha_ts,1,NoVisuals,5,118,46,0.3898305084745763,0.3611031312841137
03,eeg_alpha_ts,1,NoVisuals,10,58,27,0.46551724137931033,0.3353151010701545
03,eeg_alpha_ts,1,NoVisuals,30,18,4,0.2222222222222222,0.18518518518518523
03,eeg_alpha_ts,1,NoVisuals,60,8,2,0.25,0.125
03,eeg_alpha_ts,2,FixedVideo,1,596,281,0.4714765100671141,0.45815503806134855
03,eeg_alpha_ts,2,FixedVideo,2,298,138,0.46308724832214765,0.44853835412819243
03,eeg_alpha_ts,2,FixedVideo,5,118,54,0.4576271186440678,0.4326343004883654
03,eeg_alpha_ts,2,FixedVideo,10,58,24,0.41379310344827586,0.4233055885850179
03,eeg_alpha_ts,2,FixedVideo,30,18,8,0.4444444444444444,0.34567901234567905
03,eeg_alpha_ts,2,FixedVideo,60,8,3,0.375,0.1875
03,eeg_alpha_ts,3,MovingVideo,1,596,259,0.43456375838926176,0.40307869014909237
03,eeg_alpha_ts,3,MovingVideo,2,298,132,0.4429530201342282,0.3994865096166839
03,eeg_alpha_ts,3,MovingVideo,5,118,44,0.3728813559322034,0.3352484918126975
03,eeg_alpha_ts,3,MovingVideo,10,58,16,0.27586206896551724,0.26634958382877527
03,eeg_alpha_ts,3,MovingVideo,30,18,2,0.1111111111111111,0.049382716049382734
03,eeg_alpha_ts,3,MovingVideo,60,8,0,0.0,0.0
03,eeg_alpha_ts,4,NoVisuals,1,596,250,0.41946308724832215,0.4012206657357777
03,eeg_alpha_ts,4,NoVisuals,2,298,120,0.40268456375838924,0.3865141209855412
03,eeg_alpha_ts,4,NoVisuals,5,118,40,0.3389830508474576,0.32634300488365414
03,eeg_alpha_ts,4,NoVisuals,10,58,26,0.4482758620689655,0.29964328180737215
03,eeg_alpha_ts,4,NoVisuals,30,18,6,0.3333333333333333,0.16049382716049382
03,eeg_alpha_ts,4,NoVisuals,60,8,2,0.25,0.0
03,eeg_alpha_ts,5,FixedVideo,1,596,288,0.48322147651006714,0.4627494257015449
03,eeg_alpha_ts,5,FixedVideo,2,298,148,0.4966442953020134,0.48159992793117423
03,eeg_alpha_ts,5,FixedVideo,5,118,59,0.5,0.48348175811548405
03,eeg_alpha_ts,5,FixedVideo,10,58,25,0.43103448275862066,0.4637336504161712
03,eeg_alpha_ts,5,FixedVideo,30,18,9,0.5,0.5061728395061728
03,eeg_alpha_ts,5,FixedVideo,60,8,3,0.375,0.4375
03,gazectrl_ts,0,MovingVideo,1,596,289,0.4848993288590604,0.49557452367010496
03,gazectrl_ts,0,MovingVideo,2,298,145,0.4865771812080537,0.5129498671231025
03,gazectrl_ts,0,MovingVideo,5,118,59,0.5,0.48060902039643777
03,gazectrl_ts,0,MovingVideo,10,58,28,0.4827586206896552,0.4780023781212842
03,gazectrl_ts,0,MovingVideo,30,18,9,0.5,0.4444444444444445
03,gazectrl_ts,0,MovingVideo,60,8,4,0.5,0.5
03,gazectrl_ts,1,NoVisuals,1,596,279,0.46812080536912754,0.45352686815909193
03,gazectrl_ts,1,NoVisuals,2,298,137,0.4597315436241611,0.42525111481464806
03,gazectrl_ts,1,NoVisuals,5,118,47,0.3983050847457627,0.3837977592645791
03,gazectrl_ts,1,NoVisuals,10,58,21,0.3620689655172414,0.36623067776456597
03,gazectrl_ts,1,NoVisuals,30,18,6,0.3333333333333333,0.345679012345679
03,gazectrl_ts,1,NoVisuals,60,8,1,0.125,0.0625
03,gazectrl_ts,2,FixedVideo,1,596,282,0.47315436241610737,0.46859375703797124
03,gazectrl_ts,2,FixedVideo,2,298,144,0.48322147651006714,0.4812395838025314
03,gazectrl_ts,2,FixedVideo,5,118,60,0.5084745762711864,0.5067509336397588
03,gazectrl_ts,2,FixedVideo,10,58,32,0.5517241379310345,0.5243757431629014
03,gazectrl_ts,2,FixedVideo,30,18,11,0.6111111111111112,0.6666666666666667
03,gazectrl_ts,2,FixedVideo,60,8,6,0.75,0.6875
03,gazectrl_ts,3,MovingVideo,1,596,284,0.47651006711409394,0.44025043916940687
03,gazectrl_ts,3,MovingVideo,2,298,139,0.4664429530201342,0.43669204089905866
03,gazectrl_ts,3,MovingVideo,5,118,51,0.4322033898305085,0.41568514794599254
03,gazectrl_ts,3,MovingVideo,10,58,26,0.4482758620689655,0.38882282996432815
03,gazectrl_ts,3,MovingVideo,30,18,7,0.3888888888888889,0.2962962962962963
03,gazectrl_ts,3,MovingVideo,60,8,3,0.375,0.25
03,gazectrl_ts,4,NoVisuals,1,596,266,0.4463087248322148,0.39961037791090487
03,gazectrl_ts,4,NoVisuals,2,298,115,0.3859060402684564,0.3471915679473897
03,gazectrl_ts,4,NoVisuals,5,118,48,0.4067796610169492,0.3286411950588911
03,gazectrl_ts,4,NoVisuals,10,58,20,0.3448275862068966,0.2829964328180737
03,gazectrl_ts,4,NoVisuals,30,18,7,0.3888888888888889,0.08641975308641976
03,gazectrl_ts,4,NoVisuals,60,8,4,0.5,0.0625
03,gazectrl_ts,5,FixedVideo,1,596,301,0.5050335570469798,0.509988288815819
03,gazectrl_ts,5,FixedVideo,2,298,144,0.48322147651006714,0.4785820458537904
03,gazectrl_ts,5,FixedVideo,5,118,63,0.5338983050847458,0.5033036483769031
