subject,model,test_condition,window_s,n_windows,n_correct,accuracy,auc
09,gazectrl_ts,NoVisuals,30,36,15,0.4166666666666667,0.36419753086419754
09,gazectrl_ts,NoVisuals,60,16,7,0.4375,0.375
10,eeg_alpha_ts,FixedVideo,1,1192,505,0.4236577181208054,0.38747128507724876
10,eeg_alpha_ts,FixedVideo,2,596,248,0.4161073825503356,0.37273095806495204
10,eeg_alpha_ts,FixedVideo,5,236,97,0.4110169491525424,0.39126687733409937
10,eeg_alpha_ts,FixedVideo,10,116,49,0.4224137931034483,0.35017835909631395
10,eeg_alpha_ts,FixedVideo,30,36,12,0.3333333333333333,0.28395061728395066
10,eeg_alpha_ts,FixedVideo,60,16,4,0.25,0.1875
10,eeg_alpha_ts,MovingTargetNoise,1,1192,575,0.4823825503355705,0.47599207242916985
10,eeg_alpha_ts,MovingTargetNoise,2,596,303,0.5083892617449665,0.4970722039547768
10,eeg_alpha_ts,MovingTargetNoise,5,236,118,0.5,0.49138178684286127
10,eeg_alpha_ts,MovingTargetNoise,10,116,60,0.5172413793103449,0.48929845422116525
10,eeg_alpha_ts,MovingTargetNoise,30,36,17,0.4722222222222222,0.4320987654320988
10,eeg_alpha_ts,MovingTargetNoise,60,16,8,0.5,0.4375
10,eeg_alpha_ts,MovingVideo,1,1192,582,0.48825503355704697,0.481560515292104
10,eeg_alpha_ts,MovingVideo,2,596,296,0.4966442953020134,0.49436962298995546
10,eeg_alpha_ts,MovingVideo,5,236,128,0.5423728813559322,0.5491238149956909
10,eeg_alpha_ts,MovingVideo,10,116,65,0.5603448275862069,0.5695600475624256
10,eeg_alpha_ts,MovingVideo,30,36,23,0.6388888888888888,0.7283950617283951
10,eeg_alpha_ts,MovingVideo,60,16,12,0.75,0.8125
10,eeg_alpha_ts,NoVisuals,1,1192,592,0.4966442953020134,0.4885872258006396
10,eeg_alpha_ts,NoVisuals,2,596,303,0.5083892617449665,0.5147065447502365
10,eeg_alpha_ts,NoVisuals,5,236,127,0.538135593220339,0.5415110600402183
10,eeg_alpha_ts,NoVisuals,10,116,58,0.5,0.5356718192627824
10,eeg_alpha_ts,NoVisuals,30,36,20,0.5555555555555556,0.6481481481481481
10,eeg_alpha_ts,NoVisuals,60,16,10,0.625,0.625
10,eeg_csp,FixedVideo,1,1192,291,0.24412751677852348,0.21312666096121796
10,eeg_csp,FixedVideo,2,596,144,0.24161073825503357,0.20618440610783298
10,eeg_csp,FixedVideo,5,236,49,0.2076271186440678,0.20640620511347313
