subject,model,train_condition,test_condition,window_s,n_windows,n_correct,accuracy,auc
03,eeg_csp,MovingVideo,MovingVideo,30,36,18,0.5,0.04320987654320988
03,eeg_csp,MovingVideo,MovingVideo,60,16,8,0.5,0.0
03,eeg_csp,MovingVideo,NoVisuals,1,1192,621,0.5209731543624161,0.5354741903517859
03,eeg_csp,MovingVideo,NoVisuals,2,596,313,0.5251677852348994,0.5414733570559885
03,eeg_csp,MovingVideo,NoVisuals,5,236,124,0.5254237288135594,0.5693047974719909
03,eeg_csp,MovingVideo,NoVisuals,10,116,59,0.5086206896551724,0.5651010701545779
03,eeg_csp,MovingVideo,NoVisuals,30,36,18,0.5,0.537037037037037
03,eeg_csp,MovingVideo,NoVisuals,60,16,8,0.5,0.5625
03,eeg_csp,NoVisuals,FixedVideo,1,1192,597,0.5008389261744967,0.5200328814017386
03,eeg_csp,NoVisuals,FixedVideo,2,596,240,0.40268456375838924,0.43299851358046926
03,eeg_csp,NoVisuals,FixedVideo,5,236,119,0.5042372881355932,0.49497270899166906
03,eeg_csp,NoVisuals,FixedVideo,10,116,58,0.5,0.4845422116527942
03,eeg_csp,NoVisuals,FixedVideo,30,36,17,0.4722222222222222,0.48456790123456794
03,eeg_csp,NoVisuals,FixedVideo,60,16,7,0.4375,0.5
03,eeg_csp,NoVisuals,MovingVideo,1,1192,615,0.5159395973154363,0.48042317913607496
03,eeg_csp,NoVisuals,MovingVideo,2,596,295,0.4949664429530201,0.4138552317463177
03,eeg_csp,NoVisuals,MovingVideo,5,236,127,0.538135593220339,0.5120654984199943
03,eeg_csp,NoVisuals,MovingVideo,10,116,65,0.5603448275862069,0.522294887039239
03,eeg_csp,NoVisuals,MovingVideo,30,36,21,0.5833333333333334,0.5246913580246914
03,eeg_csp,NoVisuals,MovingVideo,60,16,9,0.5625,0.578125
03,eeg_csp,NoVisuals,NoVisuals,1,1192,277,0.23238255033557048,0.04500923381829648
03,eeg_csp,NoVisuals,NoVisuals,2,596,132,0.2214765100671141,0.03833160668438358
03,eeg_csp,NoVisuals,NoVisuals,5,236,42,0.17796610169491525,0.034185578856650384
03,eeg_csp,NoVisuals,NoVisuals,10,116,20,0.1724137931034483,0.025564803804994055
03,eeg_csp,NoVisuals,NoVisuals,30,36,6,0.16666666666666666,0.012345679012345684
03,eeg_csp,NoVisuals,NoVisuals,60,16,3,0.1875,0.0
03,eeg_eogreg_ts,FixedVideo,FixedVideo,1,1192,471,0.3951342281879195,0.3469888743750281
03,eeg_eogreg_ts,FixedVideo,FixedVideo,2,596,235,0.39429530201342283,0.27748750056303767
03,eeg_eogreg_ts,FixedVideo,FixedVideo,5,236,93,0.3940677966101695,0.2575409365124964
03,eeg_eogreg_ts,FixedVideo,FixedVideo,10,116,48,0.41379310344827586,0.22948870392390014
03,eeg_eogreg_ts,FixedVideo,FixedVideo,30,36,14,0.3888888888888889,0.15432098765432098
03,eeg_eogreg_ts,FixedVideo,FixedVideo,60,16,6,0.375,0.09375
03,eeg_eogreg_ts,FixedVideo,MovingVideo,1,1192,466,0.39093959731543626,0.5197485473627315
03,eeg_eogreg_ts,FixedVideo,MovingVideo,2,596,220,0.3691275167785235,0.5114296653303906
03,eeg_eogreg_ts,FixedVideo,MovingVideo,5,236,78,0.3305084745762712,0.5012209135305946
03,eeg_eogreg_ts,FixedVideo,MovingVideo,10,116,35,0.3017241379310345,0.49227110582639716
03,eeg_eogreg_ts,FixedVideo,MovingVideo,30,36,10,0.2777777777777778,0.5
03,eeg_eogreg_ts,FixedVideo,MovingVideo,60,16,4,0.25,0.5
03,eeg_eogreg_ts,FixedVideo,NoVisuals,1,1192,542,0.4546979865771812,0.3831950137381199
03,eeg_eogreg_ts,FixedVideo,NoVisuals,2,596,259,0.43456375838926176,0.3720890950858069
03,eeg_eogreg_ts,FixedVideo,NoVisuals,5,236,94,0.3983050847457627,0.35025854639471415
03,eeg_eogreg_ts,FixedVideo,NoVisuals,10,116,48,0.41379310344827586,0.34036860879904873
03,eeg_eogreg_ts,FixedVideo,NoVisuals,30,36,16,0.4444444444444444,0.3395061728395062
03,eeg_eogreg_ts,FixedVideo,NoVisuals,60,16,6,0.375,0.296875
