subject,trial,condition,eog_regression,window_s,n_windows,n_correct,ridge_alpha
03,1,NoVisuals,True,60,9,8,0.0001
03,2,FixedVideo,True,1,599,319,0.01
03,2,FixedVideo,True,2,299,164,0.01
03,2,FixedVideo,True,5,119,72,0.01
03,2,FixedVideo,True,10,59,38,0.01
03,2,FixedVideo,True,30,19,13,0.01
03,2,FixedVideo,True,60,9,6,0.01
03,3,MovingVideo,True,1,599,344,0.0001
03,3,MovingVideo,True,2,299,184,0.0001
03,3,MovingVideo,True,5,119,76,0.0001
03,3,MovingVideo,True,10,59,39,0.0001
03,3,MovingVideo,True,30,19,15,0.0001
03,3,MovingVideo,True,60,9,9,0.0001
03,4,NoVisuals,True,1,599,318,0.01
03,4,NoVisuals,True,2,299,166,0.01
03,4,NoVisuals,True,5,119,72,0.01
03,4,NoVisuals,True,10,59,35,0.01
03,4,NoVisuals,True,30,19,13,0.01
03,4,NoVisuals,True,60,9,7,0.01
03,5,FixedVideo,True,1,599,330,0.01
03,5,FixedVideo,True,2,299,178,0.01
03,5,FixedVideo,True,5,119,73,0.01
03,5,FixedVideo,True,10,59,39,0.01
03,5,FixedVideo,True,30,19,16,0.01
03,5,FixedVideo,True,60,9,8,0.01
04,0,MovingVideo,False,1,599,353,0.001
04,0,MovingVideo,False,2,299,175,0.001
04,0,MovingVideo,False,5,119,83,0.001
04,0,MovingVideo,False,10,59,45,0.001
04,0,MovingVideo,False,30,19,17,0.001
04,0,MovingVideo,False,60,9,9,0.001
04,1,MovingTargetNoise,False,1,599,368,0.001
04,1,MovingTargetNoise,False,2,299,188,0.001
04,1,MovingTargetNoise,False,5,119,81,0.001
04,1,MovingTargetNoise,False,10,59,42,0.001
04,1,MovingTargetNoise,False,30,19,17,0.001
04,1,MovingTargetNoise,False,60,9,9,0.001
04,2,NoVisuals,False,1,599,350,0.001
04,2,NoVisuals,False,2,299,182,0.001
04,2,NoVisuals,False,5,119,90,0.001
04,2,NoVisuals,False,10,59,50,0.001
04,2,NoVisuals,False,30,19,18,0.001
04,2,NoVisuals,False,60,9,9,0.001
04,3,FixedVideo,False,1,599,343,0.001
04,3,FixedVideo,False,2,299,175,0.001
04,3,FixedVideo,False,5,119,80,0.001
04,3,FixedVideo,False,10,59,46,0.001
04,3,FixedVideo,False,30,19,17,0.001
04,3,FixedVideo,False,60,9,9,0.001
04,4,MovingVideo,False,1,599,347,0.001
04,4,MovingVideo,False,2,299,173,0.001
04,4,MovingVideo,False,5,119,76,0.001
04,4,MovingVideo,False,10,59,42,0.001
04,4,MovingVideo,False,30,19,12,0.001
04,4,MovingVideo,False,60,9,6,0.001
04,5,MovingTargetNoise,False,1,599,301,0.001
04,5,MovingTargetNoise,False,2,299,154,0.001
04,5,MovingTargetNoise,False,5,119,58,0.001
04,5,MovingTargetNoise,False,10,59,29,0.001
04,5,MovingTargetNoise,False,30,19,6,0.001
04,5,MovingTargetNoise,False,60,9,4,0.001
04,6,NoVisuals,False,1,599,354,0.001
04,6,NoVisuals,False,2,299,190,0.001
04,6,NoVisuals,False,5,119,82,0.001
04,6,NoVisuals,False,10,59,48,0.001
04,6,NoVisuals,False,30,19,16,0.001
04,6,NoVisuals,False,60,9,9,0.001
04,7,FixedVideo,False,1,599,350,0.001
04,7,FixedVideo,False,2,299,193,0.001
04,7,FixedVideo,False,5,119,76,0.001
04,7,FixedVideo,False,10,59,40,0.001
04,7,FixedVideo,False,30,19,14,0.001
04,7,FixedVideo,False,60,9,6,0.001
04,0,MovingVideo,True,1,599,359,0.001
04,0,MovingVideo,True,2,299,181,0.001
04,0,MovingVideo,True,5,119,82,0.001
04,0,MovingVideo,True,10,59,45,0.001
04,0,MovingVideo,True,30,19,16,0.001
04,0,MovingVideo,True,60,9,9,0.001
04,1,MovingTargetNoise,True,1,599,365,0.01
04,1,MovingTargetNoise,True,2,299,192,0.01
04,1,MovingTargetNoise,True,5,119,79,0.01
04,1,MovingTargetNoise,True,10,59,40,0.01
04,1,MovingTargetNoise,True,30,19,16,0.01
04,1,MovingTargetNoise,True,60,9,9,0.01
04,2,NoVisuals,True,1,599,341,0.01
04,2,NoVisuals,True,2,299,177,0.01
04,2,NoVisuals,True,5,119,86,0.01
04,2,NoVisuals,True,10,59,46,0.01
04,2,NoVisuals,True,30,19,18,0.01
04,2,NoVisuals,True,60,9,9,0.01
04,3,FixedVideo,True,1,599,361,0.01
04,3,FixedVideo,True,2,299,181,0.01
04,3,FixedVideo,True,5,119,79,0.01
04,3,FixedVideo,True,10,59,46,0.01
04,3,FixedVideo,True,30,19,16,0.01
04,3,FixedVideo,True,60,9,9,0.01
04,4,MovingVideo,True,1,599,343,0.01
04,4,MovingVideo,True,2,299,172,0.01
04,4,MovingVideo,True,5,119,75,0.01
04,4,MovingVideo,True,10,59,37,0.01
04,4,MovingVideo,True,30,19,12,0.01
04,4,MovingVideo,True,60,9,6,0.01
04,5,MovingTargetNoise,True,1,599,289,0.01
04,5,MovingTargetNoise,True,2,299,146,0.01
04,5,MovingTargetNoise,True,5,119,55,0.01
04,5,MovingTargetNoise,True,10,59,29,0.01
04,5,MovingTargetNoise,True,30,19,5,0.01
04,5,MovingTargetNoise,True,60,9,4,0.01
04,6,NoVisuals,True,1,599,351,0.01
04,6,NoVisuals,True,2,299,189,0.01
04,6,NoVisuals,True,5,119,84,0.01
04,6,NoVisuals,True,10,59,44,0.01
04,6,NoVisuals,True,30,19,16,0.01
04,6,NoVisuals,True,60,9,8,0.01
04,7,FixedVideo,True,1,599,345,0.01
04,7,FixedVideo,True,2,299,183,0.01
04,7,FixedVideo,True,5,119,75,0.01
04,7,FixedVideo,True,10,59,39,0.01
