subject,model,analysis,condition,accuracy
04,eog_ts,side_decoding_loto,MovingTargetNoise,0.6313559322033898
04,eog_ts,side_decoding_loto,MovingVideo,0.4576271186440678
04,eog_ts,side_decoding_loto,NoVisuals,0.5466101694915254
04,eeg_csp,leaky_random_cv,FixedVideo,0.5423728813559322
04,eeg_csp,leaky_random_cv,MovingTargetNoise,0.5338983050847458
04,eeg_csp,leaky_random_cv,MovingVideo,0.5847457627118644
04,eeg_csp,leaky_random_cv,NoVisuals,0.6101694915254238
04,eeg_csp,time_decoding_loto,FixedVideo,0.5211864406779662
04,eeg_csp,time_decoding_loto,MovingTargetNoise,0.5720338983050848
04,eeg_csp,time_decoding_loto,MovingVideo,0.5211864406779662
04,eeg_csp,time_decoding_loto,NoVisuals,0.4703389830508475
04,eeg_csp,side_decoding_loto,FixedVideo,0.4576271186440678
04,eeg_csp,side_decoding_loto,MovingTargetNoise,0.4872881355932203
04,eeg_csp,side_decoding_loto,MovingVideo,0.4830508474576271
04,eeg_csp,side_decoding_loto,NoVisuals,0.6101694915254238
04,eeg_ts,leaky_random_cv,FixedVideo,0.7033898305084746
04,eeg_ts,leaky_random_cv,MovingTargetNoise,0.7288135593220338
04,eeg_ts,leaky_random_cv,MovingVideo,0.673728813559322
04,eeg_ts,leaky_random_cv,NoVisuals,0.7627118644067796
04,eeg_ts,time_decoding_loto,FixedVideo,0.6694915254237288
04,eeg_ts,time_decoding_loto,MovingTargetNoise,0.7372881355932204
04,eeg_ts,time_decoding_loto,MovingVideo,0.711864406779661
04,eeg_ts,time_decoding_loto,NoVisuals,0.6652542372881356
04,eeg_ts,side_decoding_loto,FixedVideo,0.5127118644067796
04,eeg_ts,side_decoding_loto,MovingTargetNoise,0.559322033898305
04,eeg_ts,side_decoding_loto,MovingVideo,0.4661016949152542
04,eeg_ts,side_decoding_loto,NoVisuals,0.6567796610169492
04,gazectrl_ts,leaky_random_cv,FixedVideo,0.5466101694915254
04,gazectrl_ts,leaky_random_cv,MovingTargetNoise,0.5550847457627118
04,gazectrl_ts,leaky_random_cv,MovingVideo,0.5720338983050848
04,gazectrl_ts,leaky_random_cv,NoVisuals,0.5720338983050848
04,gazectrl_ts,time_decoding_loto,FixedVideo,0.5889830508474576
04,gazectrl_ts,time_decoding_loto,MovingTargetNoise,0.559322033898305
04,gazectrl_ts,time_decoding_loto,MovingVideo,0.5127118644067796
04,gazectrl_ts,time_decoding_loto,NoVisuals,0.5720338983050848
04,gazectrl_ts,side_decoding_loto,FixedVideo,0.4872881355932203
04,gazectrl_ts,side_decoding_loto,MovingTargetNoise,0.4745762711864407
04,gazectrl_ts,side_decoding_loto,MovingVideo,0.5889830508474576
04,gazectrl_ts,side_decoding_loto,NoVisuals,0.5466101694915254
07,eog_ts,leaky_random_cv,FixedVideo,0.7838983050847458
07,eog_ts,leaky_random_cv,MovingTargetNoise,0.5847457627118644
07,eog_ts,leaky_random_cv,MovingVideo,0.5932203389830508
07,eog_ts,leaky_random_cv,NoVisuals,0.5338983050847458
07,eog_ts,time_decoding_loto,FixedVideo,0.673728813559322
07,eog_ts,time_decoding_loto,MovingTargetNoise,0.5550847457627118
07,eog_ts,time_decoding_loto,MovingVideo,0.673728813559322
07,eog_ts,time_decoding_loto,NoVisuals,0.6440677966101694
07,eog_ts,side_decoding_loto,FixedVideo,0.652542372881356
07,eog_ts,side_decoding_loto,MovingTargetNoise,0.6101694915254238
07,eog_ts,side_decoding_loto,MovingVideo,0.5720338983050848
07,eog_ts,side_decoding_loto,NoVisuals,0.4830508474576271
07,eeg_csp,leaky_random_cv,FixedVideo,0.5889830508474576
07,eeg_csp,leaky_random_cv,MovingTargetNoise,0.6059322033898306
07,eeg_csp,leaky_random_cv,MovingVideo,0.5889830508474576
07,eeg_csp,leaky_random_cv,NoVisuals,0.5296610169491526
07,eeg_csp,time_decoding_loto,FixedVideo,0.6440677966101694
07,eeg_csp,time_decoding_loto,MovingTargetNoise,0.7796610169491526
07,eeg_csp,time_decoding_loto,MovingVideo,0.8940677966101694
07,eeg_csp,time_decoding_loto,NoVisuals,0.826271186440678
07,eeg_csp,side_decoding_loto,FixedVideo,0.4067796610169492
07,eeg_csp,side_decoding_loto,MovingTargetNoise,0.4576271186440678
07,eeg_csp,side_decoding_loto,MovingVideo,0.5338983050847458
07,eeg_csp,side_decoding_loto,NoVisuals,0.2669491525423729
07,eeg_ts,leaky_random_cv,FixedVideo,0.6652542372881356
07,eeg_ts,leaky_random_cv,MovingTargetNoise,0.6271186440677966
07,eeg_ts,leaky_random_cv,MovingVideo,0.690677966101695
07,eeg_ts,leaky_random_cv,NoVisuals,0.5847457627118644
07,eeg_ts,time_decoding_loto,FixedVideo,0.6864406779661016
07,eeg_ts,time_decoding_loto,MovingTargetNoise,0.8305084745762712
07,eeg_ts,time_decoding_loto,MovingVideo,0.8601694915254238
07,eeg_ts,time_decoding_loto,NoVisuals,0.826271186440678
07,eeg_ts,side_decoding_loto,FixedVideo,0.4703389830508475
07,eeg_ts,side_decoding_loto,MovingTargetNoise,0.4449152542372881
07,eeg_ts,side_decoding_loto,MovingVideo,0.4830508474576271
07,eeg_ts,side_decoding_loto,NoVisuals,0.4110169491525424
07,gazectrl_ts,leaky_random_cv,FixedVideo,0.6271186440677966
07,gazectrl_ts,leaky_random_cv,MovingTargetNoise,0.5211864406779662
07,gazectrl_ts,leaky_random_cv,MovingVideo,0.5423728813559322
07,gazectrl_ts,leaky_random_cv,NoVisuals,0.5423728813559322
07,gazectrl_ts,time_decoding_loto,FixedVideo,0.5508474576271186
07,gazectrl_ts,time_decoding_loto,MovingTargetNoise,0.597457627118644
07,gazectrl_ts,time_decoding_loto,MovingVideo,0.576271186440678
07,gazectrl_ts,time_decoding_loto,NoVisuals,0.5889830508474576
07,gazectrl_ts,side_decoding_loto,FixedVideo,0.559322033898305
07,gazectrl_ts,side_decoding_loto,MovingTargetNoise,0.5169491525423728
07,gazectrl_ts,side_decoding_loto,MovingVideo,0.5296610169491526
07,gazectrl_ts,side_decoding_loto,NoVisuals,0.4703389830508475
08,eog_ts,leaky_random_cv,FixedVideo,0.5338983050847458
08,eog_ts,leaky_random_cv,MovingTargetNoise,0.5084745762711864
08,eog_ts,leaky_random_cv,MovingVideo,0.5084745762711864
08,eog_ts,leaky_random_cv,NoVisuals,0.6101694915254238
08,eog_ts,time_decoding_loto,FixedVideo,0.6440677966101694
08,eog_ts,time_decoding_loto,MovingTargetNoise,0.6610169491525424
08,eog_ts,time_decoding_loto,MovingVideo,0.5254237288135594
08,eog_ts,time_decoding_loto,NoVisuals,0.7457627118644068
08,eog_ts,side_decoding_loto,FixedVideo,0.4279661016949153
08,eog_ts,side_decoding_loto,MovingTargetNoise,0.4110169491525424
08,eog_ts,side_decoding_loto,MovingVideo,0.4449152542372881
08,eog_ts,side_decoding_loto,NoVisuals,0.2754237288135593
08,eeg_csp,leaky_random_cv,FixedVideo,0.75
08,eeg_csp,leaky_random_cv,MovingTargetNoise,0.6228813559322034
08,eeg_csp,leaky_random_cv,MovingVideo,0.6822033898305084
08,eeg_csp,leaky_random_cv,NoVisuals,0.6949152542372882
08,eeg_csp,time_decoding_loto,FixedVideo,0.5508474576271186
08,eeg_csp,time_decoding_loto,MovingTargetNoise,0.7711864406779662
08,eeg_csp,time_decoding_loto,MovingVideo,0.5254237288135594
08,eeg_csp,time_decoding_loto,NoVisuals,0.5932203389830508
08,eeg_csp,side_decoding_loto,FixedVideo,0.690677966101695
08,eeg_csp,side_decoding_loto,MovingTargetNoise,0.5338983050847458
08,eeg_csp,side_decoding_loto,MovingVideo,0.4576271186440678
08,eeg_csp,side_decoding_loto,NoVisuals,0.538135593220339
08,eeg_ts,leaky_random_cv,FixedVideo,0.7669491525423728
08,eeg_ts,leaky_random_cv,MovingTargetNoise,0.6652542372881356
08,eeg_ts,leaky_random_cv,MovingVideo,0.6864406779661016
08,eeg_ts,leaky_random_cv,NoVisuals,0.8305084745762712
08,eeg_ts,time_decoding_loto,FixedVideo,0.614406779661017
08,eeg_ts,time_decoding_loto,MovingTargetNoise,0.6313559322033898
08,eeg_ts,time_decoding_loto,MovingVideo,0.5466101694915254
08,eeg_ts,time_decoding_loto,NoVisuals,0.5550847457627118
08,eeg_ts,side_decoding_loto,FixedVideo,0.6398305084745762
08,eeg_ts,side_decoding_loto,MovingTargetNoise,0.576271186440678
08,eeg_ts,side_decoding_loto,MovingVideo,0.597457627118644
08,eeg_ts,side_decoding_loto,NoVisuals,0.6186440677966102
08,gazectrl_ts,leaky_random_cv,FixedVideo,0.4957627118644068
08,gazectrl_ts,leaky_random_cv,MovingTargetNoise,0.6016949152542372
08,gazectrl_ts,leaky_random_cv,MovingVideo,0.5720338983050848
08,gazectrl_ts,leaky_random_cv,NoVisuals,0.6059322033898306
08,gazectrl_ts,time_decoding_loto,FixedVideo,0.559322033898305
08,gazectrl_ts,time_decoding_loto,MovingTargetNoise,0.5211864406779662
08,gazectrl_ts,time_decoding_loto,MovingVideo,0.5508474576271186
08,gazectrl_ts,time_decoding_loto,NoVisuals,0.4957627118644068
08,gazectrl_ts,side_decoding_loto,FixedVideo,0.4872881355932203
08,gazectrl_ts,side_decoding_loto,MovingTargetNoise,0.538135593220339
08,gazectrl_ts,side_decoding_loto,MovingVideo,0.4915254237288136
08,gazectrl_ts,side_decoding_loto,NoVisuals,0.5508474576271186
09,eog_ts,leaky_random_cv,FixedVideo,0.6016949152542372
09,eog_ts,leaky_random_cv,MovingTargetNoise,0.6059322033898306
09,eog_ts,leaky_random_cv,MovingVideo,0.4279661016949153
09,eog_ts,leaky_random_cv,NoVisuals,0.7966101694915254
09,eog_ts,time_decoding_loto,FixedVideo,0.5127118644067796
09,eog_ts,time_decoding_loto,MovingTargetNoise,0.6059322033898306
09,eog_ts,time_decoding_loto,MovingVideo,0.5254237288135594
09,eog_ts,time_decoding_loto,NoVisuals,0.3813559322033898
09,eog_ts,side_decoding_loto,FixedVideo,0.538135593220339
09,eog_ts,side_decoding_loto,MovingTargetNoise,0.5677966101694916
09,eog_ts,side_decoding_loto,MovingVideo,0.4025423728813559
09,eog_ts,side_decoding_loto,NoVisuals,0.7542372881355932
09,eeg_csp,leaky_random_cv,FixedVideo,0.6101694915254238
09,eeg_csp,leaky_random_cv,MovingTargetNoise,0.711864406779661
09,eeg_csp,leaky_random_cv,MovingVideo,0.7245762711864406
09,eeg_csp,leaky_random_cv,NoVisuals,0.5084745762711864
09,eeg_csp,time_decoding_loto,FixedVideo,0.6016949152542372
09,eeg_csp,time_decoding_loto,MovingTargetNoise,0.6694915254237288
09,eeg_csp,time_decoding_loto,MovingVideo,0.6694915254237288
09,eeg_csp,time_decoding_loto,NoVisuals,0.576271186440678
09,eeg_csp,side_decoding_loto,FixedVideo,0.5466101694915254
09,eeg_csp,side_decoding_loto,MovingTargetNoise,0.6271186440677966
09,eeg_csp,side_decoding_loto,MovingVideo,0.5169491525423728
09,eeg_csp,side_decoding_loto,NoVisuals,0.5338983050847458
09,eeg_ts,leaky_random_cv,FixedVideo,0.6864406779661016
09,eeg_ts,leaky_random_cv,MovingTargetNoise,0.7542372881355932
09,eeg_ts,leaky_random_cv,MovingVideo,0.7966101694915254
09,eeg_ts,leaky_random_cv,NoVisuals,0.7838983050847458
09,eeg_ts,time_decoding_loto,FixedVideo,0.5254237288135594
09,eeg_ts,time_decoding_loto,MovingTargetNoise,0.6228813559322034
09,eeg_ts,time_decoding_loto,MovingVideo,0.597457627118644
09,eeg_ts,time_decoding_loto,NoVisuals,0.5254237288135594
09,eeg_ts,side_decoding_loto,FixedVideo,0.5550847457627118
09,eeg_ts,side_decoding_loto,MovingTargetNoise,0.5805084745762712
09,eeg_ts,side_decoding_loto,MovingVideo,0.6610169491525424
09,eeg_ts,side_decoding_loto,NoVisuals,0.5508474576271186
09,gazectrl_ts,leaky_random_cv,FixedVideo,0.461864406779661
09,gazectrl_ts,leaky_random_cv,MovingTargetNoise,0.5508474576271186
09,gazectrl_ts,leaky_random_cv,MovingVideo,0.5805084745762712
09,gazectrl_ts,leaky_random_cv,NoVisuals,0.5338983050847458
09,gazectrl_ts,time_decoding_loto,FixedVideo,0.5508474576271186
09,gazectrl_ts,time_decoding_loto,MovingTargetNoise,0.5296610169491526
09,gazectrl_ts,time_decoding_loto,MovingVideo,0.5466101694915254
09,gazectrl_ts,time_decoding_loto,NoVisuals,0.5423728813559322
09,gazectrl_ts,side_decoding_loto,FixedVideo,0.4533898305084746
09,gazectrl_ts,side_decoding_loto,MovingTargetNoise,0.4872881355932203
