model,condition,n,mean_acc,sd,min,max,mean_auc,p_vs_chance,p_vs_eog,p_holm
EOG only (gaze baseline),FixedVideo,9,0.5555555555555556,0.28886301299712597,0.0,1.0,0.6041666666666666,0.2890625,,1.0
EOG only (gaze baseline),NoVisuals,9,0.4791666666666667,0.1875,0.1875,0.75,0.4479166666666667,0.640625,,1.0
EOG only (gaze baseline),MovingVideo,9,0.4166666666666667,0.20009763241977652,0.25,0.8125,0.4027777777777778,0.8671875,,1.0
EOG only (gaze baseline),MovingTargetNoise,7,0.5625,0.2041241452319315,0.25,0.75,0.6026785714285714,0.2578125,,1.0
EEG CSP+LDA,FixedVideo,9,0.4444444444444444,0.20833333333333334,0.1875,0.875,0.4409722222222222,0.869140625,0.44921875,1.0
EEG CSP+LDA,NoVisuals,9,0.4444444444444444,0.21973982405967696,0.0625,0.75,0.4618055555555556,0.765625,0.8984375,1.0
EEG CSP+LDA,MovingVideo,9,0.4722222222222222,0.09936866681426516,0.3125,0.625,0.3993055555555556,0.80859375,0.33984375,1.0
EEG CSP+LDA,MovingTargetNoise,7,0.4642857142857143,0.1834888409737899,0.3125,0.8125,0.5044642857142857,0.734375,0.375,1.0
EEG Riemann,FixedVideo,9,0.4166666666666667,0.19764235376052372,0.125,0.75,0.4618055555555556,0.88671875,0.1875,1.0
EEG Riemann,NoVisuals,9,0.4861111111111111,0.25536772233606797,0.125,0.875,0.4409722222222222,0.59375,0.984375,1.0
EEG Riemann,MovingVideo,9,0.4652777777777778,0.22987579677826991,0.0625,0.8125,0.4930555555555556,0.66015625,0.83203125,1.0
EEG Riemann,MovingTargetNoise,7,0.48214285714285715,0.14304303381783234,0.25,0.6875,0.41517857142857145,0.640625,0.34375,1.0
"EEG Riemann, EOG regressed",FixedVideo,9,0.3958333333333333,0.19764235376052372,0.125,0.8125,0.3611111111111111,0.9375,0.19921875,1.0
"EEG Riemann, EOG regressed",NoVisuals,9,0.4930555555555556,0.23477974311634678,0.1875,0.875,0.3923611111111111,0.5703125,0.9765625,1.0
"EEG Riemann, EOG regressed",MovingVideo,9,0.5,0.25194555463432966,0.0625,0.9375,0.4548611111111111,0.5390625,0.73828125,1.0
"EEG Riemann, EOG regressed",MovingTargetNoise,7,0.45535714285714285,0.1181138978153835,0.3125,0.6875,0.4017857142857143,0.875,0.1875,1.0
"EEG Riemann, posterior channels",FixedVideo,9,0.4722222222222222,0.2098900174959363,0.1875,0.8125,0.5104166666666666,0.6796875,0.5234375,1.0
"EEG Riemann, posterior channels",NoVisuals,9,0.5555555555555556,0.2284553354110553,0.1875,1.0,0.6006944444444444,0.3125,0.734375,1.0
"EEG Riemann, posterior channels",MovingVideo,9,0.5763888888888888,0.2248649285929469,0.1875,0.875,0.5729166666666666,0.177734375,0.15625,1.0
"EEG Riemann, posterior channels",MovingTargetNoise,7,0.49107142857142855,0.10476021373094073,0.375,0.625,0.4107142857142857,0.6875,0.515625,1.0
"EEG Riemann, alpha band",FixedVideo,9,0.4027777777777778,0.1565968372747178,0.1875,0.625,0.3680555555555556,0.95703125,0.13671875,1.0
"EEG Riemann, alpha band",NoVisuals,9,0.4583333333333333,0.13621559198564606,0.25,0.625,0.4201388888888889,0.75390625,0.765625,1.0
"EEG Riemann, alpha band",MovingVideo,9,0.4652777777777778,0.1903715300260111,0.1875,0.75,0.4791666666666667,0.685546875,0.65625,1.0
"EEG Riemann, alpha band",MovingTargetNoise,7,0.45535714285714285,0.17572130260863705,0.125,0.6875,0.41517857142857145,0.71875,0.359375,1.0
Gaze-controlled EEG Riemann,FixedVideo,9,0.4791666666666667,0.16828640022295324,0.1875,0.6875,0.4340277777777778,0.54296875,0.3671875,1.0
Gaze-controlled EEG Riemann,NoVisuals,9,0.4861111111111111,0.14244577428309732,0.3125,0.75,0.4895833333333333,0.66015625,1.0,1.0
Gaze-controlled EEG Riemann,MovingVideo,9,0.5416666666666666,0.12103072956898177,0.4375,0.75,0.5868055555555556,0.23046875,0.15625,1.0
Gaze-controlled EEG Riemann,MovingTargetNoise,7,0.45535714285714285,0.10652101290579334,0.25,0.5625,0.5,0.875,0.265625,1.0
Gaze-controlled CSP+LDA,FixedVideo,9,0.3888888888888889,0.10259226876870943,0.25,0.5,0.3541666666666667,1.0,0.09375,1.0
Gaze-controlled CSP+LDA,NoVisuals,9,0.4583333333333333,0.09882117688026186,0.25,0.5625,0.4270833333333333,0.921875,0.875,1.0
Gaze-controlled CSP+LDA,MovingVideo,9,0.4652777777777778,0.08900003901372427,0.3125,0.625,0.4618055555555556,0.875,0.765625,1.0
Gaze-controlled CSP+LDA,MovingTargetNoise,7,0.45535714285714285,0.08625819491779427,0.3125,0.5625,0.4642857142857143,0.9375,0.3125,1.0
